0	-nan	-nan	-nan	
1.48	0.435643	0.257213	0.0778858	
1.49	0.437605	0.256863	0.077767	
1.5	0.439557	0.256412	0.0776433	
1.51	0.441465	0.255839	0.0775011	
1.52	0.443317	0.255131	0.0773466	
1.53	0.44524	0.254282	0.0771926	
1.54	0.447184	0.25319	0.0769772	
1.55	0.448988	0.251535	0.0767269	
1.56	0.450341	0.250811	0.0763165	
1.57	0.452324	0.250956	0.0764995	
1.58	0.454835	0.251428	0.076921	
1.59	0.457535	0.251828	0.0773835	
1.6	0.460392	0.252162	0.0778806	
1.61	0.463394	0.252459	0.0784128	
1.62	0.466529	0.252721	0.0789619	
1.63	0.469769	0.252948	0.0795441	
1.64	0.472738	0.253362	0.0801477	
1.65	0.474812	0.253919	0.0808347	
1.66	0.476907	0.253974	0.081572	
1.67	0.479348	0.253885	0.0826013	
1.68	0.482121	0.25378	0.0837668	
1.69	0.485227	0.253883	0.0847752	
1.7	0.488562	0.254039	0.0857215	
1.71	0.492033	0.2543	0.0866797	
1.72	0.495537	0.254524	0.0876502	
1.73	0.499081	0.254813	0.0886031	
1.74	0.50266	0.255173	0.0895007	
1.75	0.50627	0.25557	0.0903414	
1.76	0.509913	0.255972	0.0911294	
1.77	0.513598	0.256356	0.0918716	
1.78	0.51733	0.256687	0.0925766	
1.79	0.521113	0.25693	0.0932536	
1.8	0.524964	0.257063	0.093904	
1.81	0.52889	0.257042	0.0945429	
1.82	0.532889	0.256821	0.0951747	
1.83	0.536977	0.256385	0.0957999	
1.84	0.541156	0.255697	0.0964309	
1.85	0.545427	0.254737	0.0969869	
1.86	0.549782	0.253489	0.0974458	
1.87	0.554216	0.251921	0.0978058	
1.88	0.55873	0.250004	0.0980662	
1.89	0.563114	0.248229	0.0981921	
1.9	0.566271	0.248889	0.0976721	
1.91	0.568867	0.249892	0.0972073	
1.92	0.570993	0.250974	0.0966242	
1.93	0.572786	0.251986	0.0959641	
1.94	0.574768	0.253078	0.0955959	
1.95	0.577344	0.254128	0.0957696	
1.96	0.580159	0.25487	0.0960131	
1.97	0.582752	0.255719	0.0960753	
1.98	0.585253	0.256522	0.0960117	
1.99	0.587728	0.257266	0.0958997	
2	0.590194	0.257954	0.0957171	
2.01	0.592652	0.258588	0.0954361	
2.02	0.595085	0.259167	0.0950505	
2.03	0.597469	0.259671	0.0945908	
2.04	0.599781	0.260072	0.094122	
2.05	0.602035	0.260367	0.0937115	
2.06	0.604311	0.260575	0.0934472	
2.07	0.606635	0.260684	0.0933263	
2.08	0.609003	0.260686	0.0933325	
2.09	0.611401	0.260581	0.0934507	
2.1	0.613784	0.260368	0.0936391	
2.11	0.616093	0.260033	0.0938386	
2.12	0.61829	0.259589	0.0940265	
2.13	0.620341	0.259029	0.0942102	
2.14	0.622184	0.258319	0.0944473	
2.15	0.62376	0.257457	0.0947972	
2.16	0.624997	0.256454	0.0952864	
2.17	0.625834	0.255327	0.0958404	
2.18	0.626278	0.254118	0.0963964	
2.19	0.626303	0.252882	0.0968751	
2.2	0.625892	0.251625	0.0972771	
2.21	0.626786	0.251369	0.0975831	
2.22	0.628847	0.251825	0.0978369	
2.23	0.631478	0.252269	0.0978746	
2.24	0.634467	0.252793	0.0979059	
2.25	0.637641	0.253407	0.0980652	
2.26	0.640949	0.254101	0.0982298	
2.27	0.644304	0.254671	0.0982914	
2.28	0.647672	0.255632	0.0983032	
2.29	0.651007	0.256779	0.0981801	
2.3	0.654307	0.258117	0.0979294	
2.31	0.657565	0.259648	0.097555	
2.32	0.660776	0.261369	0.097063	
2.33	0.663942	0.263275	0.096457	
2.34	0.667061	0.265344	0.0957487	
2.35	0.670137	0.267556	0.0949491	
2.36	0.673148	0.269841	0.094097	
2.37	0.676008	0.271883	0.0933329	
2.38	0.6788	0.273822	0.0925784	
2.39	0.681554	0.275262	0.0917653	
2.4	0.684416	0.276506	0.0910166	
2.41	0.687298	0.276783	0.0898247	
2.42	0.690104	0.276568	0.0883405	
2.43	0.693032	0.275767	0.0866218	
2.44	0.696045	0.274468	0.0847767	
2.45	0.699238	0.272837	0.0830525	
2.46	0.702555	0.270736	0.0813771	
2.47	0.706178	0.268685	0.0802682	
2.48	0.710056	0.266398	0.0795429	
2.49	0.714282	0.263992	0.0793947	
2.5	0.718683	0.260683	0.0794049	
2.51	0.722966	0.259978	0.0799648	
2.52	0.726993	0.259348	0.0806391	
2.53	0.730942	0.257836	0.0814083	
2.54	0.734886	0.25765	0.0823501	
2.55	0.738792	0.257674	0.0831629	
2.56	0.742484	0.257692	0.0837072	
2.57	0.74599	0.257635	0.0840463	
2.58	0.749399	0.257612	0.0843828	
2.59	0.752685	0.257728	0.0847117	
2.6	0.755871	0.258027	0.0850403	
2.61	0.758937	0.258453	0.0853265	
2.62	0.761964	0.258889	0.0855695	
2.63	0.764963	0.25933	0.0857689	
2.64	0.767922	0.259812	0.0859171	
2.65	0.770846	0.260299	0.0860256	
2.66	0.773732	0.260779	0.0860973	
2.67	0.776423	0.261306	0.0861466	
2.68	0.779049	0.26178	0.0861496	
2.69	0.781622	0.262179	0.0860991	
2.7	0.78412	0.262458	0.0860006	
2.71	0.78657	0.262605	0.0858632	
2.72	0.788976	0.262633	0.0856955	
2.73	0.791265	0.262581	0.0855778	
2.74	0.793598	0.262388	0.0853816	
2.75	0.795813	0.262109	0.0851967	
2.76	0.797886	0.261714	0.0850083	
2.77	0.799801	0.261207	0.0847976	
2.78	0.801512	0.260562	0.0845308	
2.79	0.802997	0.259778	0.0842017	
2.8	0.804534	0.258912	0.0838374	
2.81	0.80592	0.258055	0.0834375	
2.82	0.807233	0.257256	0.0830392	
2.83	0.808571	0.256519	0.0826969	
2.84	0.809713	0.255843	0.0823954	
2.85	0.810783	0.255388	0.0821971	
2.86	0.812409	0.255957	0.0820071	
2.87	0.814456	0.256752	0.0817858	
2.88	0.8169	0.25763	0.0815377	
2.89	0.819766	0.258652	0.0812959	
2.9	0.822962	0.259755	0.0812095	
2.91	0.826324	0.260949	0.0811421	
2.92	0.829776	0.262155	0.0810204	
2.93	0.833292	0.263279	0.0808961	
2.94	0.836898	0.264417	0.0807156	
2.95	0.840549	0.265496	0.0805472	
2.96	0.844277	0.266531	0.0803292	
2.97	0.848065	0.267525	0.0800675	
2.98	0.851897	0.268473	0.0797871	
2.99	0.855726	0.269457	0.0794939	
3	0.859563	0.270399	0.0792023	
3.01	0.863377	0.271326	0.0789181	
3.02	0.867162	0.272267	0.0786396	
3.03	0.870964	0.27315	0.0783776	
3.04	0.874846	0.273677	0.078138	
3.05	0.878879	0.274069	0.0777569	
3.06	0.882958	0.274347	0.0772899	
3.07	0.887075	0.274485	0.0767799	
3.08	0.891251	0.27445	0.0762255	
3.09	0.895499	0.274203	0.0756184	
3.1	0.899829	0.273746	0.0749551	
3.11	0.904246	0.273004	0.074242	
3.12	0.908753	0.271937	0.073494	
3.13	0.913361	0.270551	0.0727006	
3.14	0.918071	0.268817	0.0718507	
3.15	0.922885	0.266708	0.0709524	
3.16	0.927797	0.264192	0.0700136	
3.17	0.932802	0.261234	0.0690402	
3.18	0.937893	0.257802	0.0680206	
3.19	0.943034	0.253852	0.06692	
3.2	0.947624	0.253129	0.0664045	
3.21	0.951957	0.253001	0.0658649	
3.22	0.955831	0.253098	0.065389	
3.23	0.959036	0.253475	0.06507	
3.24	0.961995	0.253883	0.0647914	
3.25	0.964866	0.254353	0.0644752	
3.26	0.967631	0.254831	0.0641177	
3.27	0.970288	0.255371	0.0637005	
3.28	0.972807	0.255864	0.0632739	
3.29	0.97517	0.256269	0.0628569	
3.3	0.977368	0.256629	0.0624408	
3.31	0.979565	0.25692	0.0621391	
3.32	0.981825	0.257108	0.0619977	
3.33	0.984164	0.25718	0.0620315	
3.34	0.986219	0.257503	0.0626974	
3.35	0.987829	0.258104	0.0640871	
3.36	0.98958	0.258672	0.0653734	
3.37	0.991487	0.259197	0.066481	
3.38	0.993514	0.2597	0.0673979	
3.39	0.995658	0.260186	0.0681364	
3.4	0.997923	0.260655	0.0687169	
3.41	1.00031	0.261106	0.0691549	
3.42	1.00279	0.261547	0.0694427	
3.43	1.00535	0.261988	0.0695784	
3.44	1.00798	0.262441	0.0695985	
3.45	1.01066	0.262915	0.0694664	
3.46	1.0134	0.263407	0.0692616	
3.47	1.01621	0.26391	0.0690109	
3.48	1.01912	0.26441	0.0687233	
