0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	
0.01	1.77571e-07	1.48565e-07	-0.119983	-4.83912e-08	3.55904e-08	-4.53005e-08	-0.119983	-2.13673e-08	1.09924e-07	8.85819e-08	0.119985	3.66486e-08	-4.14945e-07	3.71633e-07	0.119985	-1.53114e-07	3.59758e-07	4.17717e-07	
0.02	1.6452e-07	-8.56068e-08	-0.239965	2.66925e-08	3.89485e-08	3.337e-08	-0.239965	9.46562e-09	9.68609e-08	5.37334e-08	0.23997	-1.94504e-08	-3.8234e-07	2.24623e-07	0.23997	-1.06377e-07	2.23797e-07	3.06111e-07	
0.03	2.26696e-07	-1.05619e-07	-0.359948	2.03049e-08	-1.18147e-06	1.19966e-06	-0.328518	-8.7049e-07	3.89324e-07	2.78752e-07	0.35995	-5.21854e-08	-2.96345e-07	-1.5441e-07	0.35995	-1.55219e-07	-1.20077e-06	-6.74192e-07	
0.04	9.60359e-07	-8.61141e-07	-0.423655	-7.81921e-07	-0.00228119	1.68894e-06	-0.448505	-1.10257e-06	0.00117911	-1.10204e-06	0.366381	-7.87256e-07	-3.69725e-07	-1.74452e-07	0.479925	-1.17678e-07	-0.00254704	-1.41235e-06	
0.05	8.77167e-07	-7.14498e-07	-0.543646	-6.63255e-07	-0.00201933	2.0348e-06	-0.568496	-1.36816e-06	0.00104415	1.88064e-06	0.360854	-1.40222e-06	-2.94865e-07	-8.47985e-08	0.599896	-9.62398e-08	-0.00225345	8.84786e-05	
0.06	1.56138e-06	-1.24423e-06	-0.661028	-9.48721e-07	-0.00178647	1.05449e-06	-0.68393	-8.21836e-07	0.000924085	1.32093e-06	0.45395	-1.02773e-06	-0.0719595	1.35019e-06	0.678325	-1.12819e-06	-0.00199346	0.0153707	
0.07	0.00127112	-1.60912e-06	-0.76588	1.03393e-06	-0.00158041	5.99098e-07	-0.786144	-4.90828e-07	0.000817636	1.21619e-06	0.573934	-8.75683e-07	-0.0752156	-2.00214e-06	0.729079	-1.82403e-06	-0.00176346	0.0135991	
0.08	0.00112459	-8.16368e-07	-0.858648	-5.33311e-07	-0.00139824	4.28038e-07	-0.876577	-3.37637e-07	0.000723418	8.06097e-07	0.688826	-4.78058e-07	-0.0665459	-1.03065e-06	0.826094	-1.21336e-06	-0.00156019	0.0120316	
0.09	0.00099495	-4.04589e-07	-0.940727	-2.69051e-07	-0.00123706	3.4329e-07	-0.95659	-2.63801e-07	0.000640035	5.70962e-07	0.790479	2.4127e-07	-0.0588755	-5.31233e-07	0.911927	-9.23271e-07	-0.00138037	0.0106448	
0.1	0.000880258	-1.96244e-07	-1.01335	1.33857e-07	-0.00109447	2.93095e-07	-1.02738	-2.22646e-07	0.000566264	4.52457e-07	0.880417	-1.20509e-07	-0.0520893	-2.75586e-07	0.987869	-7.67076e-07	-0.00122127	0.00941782	
0.11	0.000778787	-9.20773e-08	-1.0776	6.51823e-08	-0.000968306	2.55308e-07	-1.09002	-1.9409e-07	0.000500996	3.80554e-07	0.95999	-5.87783e-08	-0.0460853	-1.44713e-07	1.05506	-6.63328e-07	-0.00108051	0.00833226	
0.12	0.000689013	3.99131e-08	-1.13444	3.02537e-08	-0.000856689	2.23184e-07	-1.14543	-1.71159e-07	0.000443252	3.27734e-07	1.03039	2.74989e-08	-0.0407734	-7.77479e-08	1.1145	-5.82307e-07	-0.00095598	0.00737182	
0.13	0.000609588	1.46066e-08	-1.18474	1.27241e-08	-0.000757939	1.94831e-07	-1.19446	-1.51538e-07	0.000392163	2.84469e-07	1.09268	-1.17452e-08	-0.0360737	-4.35587e-08	1.1671	-5.13852e-07	-0.000845799	0.0065221	
0.14	0.000539319	7.06416e-09	-1.22924	4.07154e-09	-0.000670573	1.69666e-07	-1.23784	-1.34371e-07	0.000346963	2.47441e-07	1.14779	-3.92789e-09	-0.0319157	-2.61784e-08	1.21363	-4.54232e-07	-0.000748317	0.00577031	
0.15	0.000477202	-2.36995e-07	-1.26861	-2.33923e-07	-0.000593268	1.53863e-07	-1.27622	-1.16539e-07	0.000306937	2.48721e-07	1.19655	3.53436e-09	-0.028237	-4.16906e-08	1.2548	-4.0151e-07	-0.000661878	0.00510536	
0.16	0.000422209	-2.08056e-07	-1.30344	-2.47836e-07	-0.00052488	1.38038e-07	-1.31017	-1.0235e-07	0.000271544	2.26945e-07	1.23968	1.04954e-09	-0.0249823	3.3367e-08	1.29122	-3.5515e-07	-0.000585564	0.00451693	
0.17	0.00037356	-1.09782e-07	-1.33426	-2.96952e-07	-0.00046438	1.26099e-07	-1.34021	-9.0316e-08	0.000240222	1.97927e-07	1.27785	1.92524e-09	-0.0221028	2.96034e-08	1.32345	-3.14225e-07	-0.000518158	0.00399629	
0.18	0.000330453	-1.50875e-07	-1.36152	-2.74323e-07	-0.000410923	1.04896e-07	-1.36679	-8.3373e-08	0.000212545	4.89555e-07	1.31161	4.03995e-07	-0.0195551	-1.8233e-08	1.35196	-2.78655e-07	-0.000458248	0.00353584	
0.19	0.000292361	-2.03745e-07	-1.38564	-3.08469e-07	-0.000363574	8.45841e-08	-1.3903	-7.39566e-08	0.000188045	4.93099e-07	1.34149	4.2852e-07	-0.0173011	-2.0662e-08	1.37718	-2.46642e-07	-0.000405324	0.00312839	
0.2	0.000258672	-2.07214e-07	-1.40698	-3.65833e-07	-0.000321669	6.91094e-08	-1.41111	-6.47628e-08	0.000166357	4.44103e-07	1.36792	3.85073e-07	-0.015307	-2.25802e-08	1.3995	-2.1821e-07	-0.000358572	0.00276786	
0.21	0.000228957	-3.71093e-07	-1.42587	-5.56933e-07	-0.000284575	2.81935e-08	-1.42952	-5.50392e-08	0.000147102	3.85033e-07	1.39131	3.23048e-07	-0.0135426	-3.62321e-08	1.41924	-1.93826e-07	-0.00031693	0.00244925	
0.22	0.00020262	-2.2714e-07	-1.44257	-6.45788e-07	-0.000251777	2.26458e-08	-1.4458	-4.80088e-08	0.000130087	3.31861e-07	1.41199	2.80727e-07	-0.0119816	-2.66053e-08	1.43671	-1.71686e-07	-0.000280496	0.002167	
0.23	0.000179309	-1.38095e-07	-1.45735	-7.21296e-07	-0.000222761	2.17367e-08	-1.46021	-4.21809e-08	0.000115046	2.85347e-07	1.4303	2.46208e-07	-0.0106006	-1.82143e-08	1.45217	-1.51993e-07	-0.00024827	0.00191725	
0.24	0.000158672	-9.62891e-08	-1.47043	-7.6523e-07	-0.000197089	2.52653e-08	-1.47296	-3.73252e-08	0.000101753	2.45201e-07	1.44649	2.17126e-07	-0.00937874	-1.5994e-08	1.46584	-1.34433e-07	-0.000219765	0.00169626	
0.25	0.000140436	1.2784e-07	-1.482	-8.11893e-07	-0.000174383	2.54241e-08	-1.48423	-3.34054e-08	8.99639e-05	2.19193e-07	1.46082	1.90761e-07	-0.00829772	-9.00657e-09	1.47794	-1.18948e-07	-0.000194536	0.00150076	
0.26	0.000124334	1.39192e-07	-1.49223	-8.31354e-07	-0.000154307	2.83919e-08	-1.49421	-3.11346e-08	7.94813e-05	3.1867e-07	1.4735	2.90679e-07	-0.0073413	-1.77809e-08	1.48864	-1.0557e-07	-0.000172074	0.00132793	
0.27	0.000110051	-1.12139e-07	-1.50129	-8.08279e-07	-0.000136532	2.24313e-08	-1.50304	-2.84898e-08	7.02684e-05	3.36698e-07	1.48471	3.16753e-07	-0.00649513	-1.54997e-08	1.49811	-9.33691e-08	-0.000152107	0.00117502	
0.28	9.74146e-05	-1.18142e-07	-1.5093	-7.30137e-07	-0.000120799	-1.5931e-08	-1.51085	-2.66176e-08	6.21381e-05	2.85054e-07	1.49464	2.68763e-07	-0.00574648	-2.52401e-08	1.50649	-8.25731e-08	-0.000134517	0.00103966	
0.29	8.6543e-05	4.21712e-07	-1.51639	-8.15784e-07	-0.0234512	-8.44967e-07	-1.51776	5.20756e-07	5.51164e-05	2.24192e-07	1.50342	2.28945e-07	-0.00508392	1.9934e-07	1.5139	-7.36677e-08	-0.000118797	0.000919768	
0.3	7.68872e-05	5.33277e-07	-1.52266	-8.76302e-07	-0.0269204	-1.36115e-06	-1.52387	-1.06132e-07	0.00167295	6.3426e-07	1.51118	3.01979e-07	-0.0044978	2.08567e-07	1.52046	-6.62855e-08	-0.00010541	0.000813985	
0.31	6.79236e-05	2.444e-07	-1.52821	-7.60913e-07	-0.0243915	1.42828e-06	-1.52928	-4.47933e-07	0.00148088	1.12814e-06	1.51805	4.51097e-07	-0.00397928	-1.77153e-07	1.52626	-5.92547e-08	-9.34776e-05	0.000720456	
0.32	6.005e-05	1.50617e-07	-1.53312	-6.68508e-07	-0.0215805	1.14627e-06	-1.53407	-5.76437e-07	0.00131058	1.06603e-06	1.52413	3.9161e-07	-0.00352056	1.32457e-07	1.5314	-5.2783e-08	-8.28153e-05	0.000637556	
0.33	5.31124e-05	1.31174e-07	-1.53746	-5.87504e-07	-0.0190934	8.29077e-07	-1.5383	-6.23648e-07	0.00115992	9.28509e-07	1.52951	1.84754e-07	-0.00311492	-1.35509e-07	1.53594	7.33132e-08	-7.34393e-05	0.000563955	
0.34	4.69607e-05	1.32349e-07	-1.54131	-5.17569e-07	-0.0168929	6.75266e-07	-1.54205	-6.61551e-07	0.0010266	7.88818e-07	1.53427	-6.7326e-08	-0.00275601	-1.9844e-07	1.53996	9.82414e-08	-6.5213e-05	0.00049877	
0.35	4.14983e-05	1.3103e-07	-1.5447	-4.57573e-07	-0.0149461	7.63445e-07	-1.54536	-7.58735e-07	0.000908728	8.25602e-07	1.53848	-1.7742e-07	-0.00243834	-1.41265e-07	1.54351	7.85043e-08	-5.79509e-05	0.000441303	
0.36	3.66599e-05	1.30349e-07	-1.54771	-4.04927e-07	-0.0132239	8.69652e-07	-1.54829	-8.5488e-07	0.000804465	8.73025e-07	1.54221	-2.90417e-07	-0.00215726	-1.13487e-07	1.54666	5.425e-08	-5.15384e-05	0.000390502	
0.37	3.23798e-05	1.26809e-07	-1.55037	-3.5819e-07	-0.0117001	9.4026e-07	-1.55089	-9.31155e-07	0.000712219	8.9652e-07	1.5455	-3.79569e-07	-0.00190857	-1.14832e-07	1.54944	3.73805e-08	-4.58491e-05	0.000345563	
0.38	2.85954e-05	1.2066e-07	-1.55273	-3.16075e-07	-0.010352	9.67956e-07	-1.55318	-9.92893e-07	0.000630595	8.96561e-07	1.54842	-4.37956e-07	-0.00168854	-1.15886e-07	1.5519	2.56304e-08	-4.07497e-05	0.000305825	
0.39	2.52471e-05	1.14709e-07	-1.55481	-2.78843e-07	-0.00915927	9.89245e-07	-1.55521	-1.05738e-06	0.000558388	9.04839e-07	1.551	-4.99594e-07	-0.00149387	-1.08496e-07	1.55408	1.82057e-08	-3.62307e-05	0.000270683	
0.4	2.22842e-05	1.09358e-07	-1.55665	-2.4594e-07	-0.00810403	1.00664e-06	-1.55701	-1.11834e-06	0.000494508	9.11911e-07	1.55328	-5.56412e-07	-0.00132164	-1.01056e-07	1.55601	1.44695e-08	-3.22321e-05	0.000239596	
0.41	1.96626e-05	1.04696e-07	-1.55828	-2.16855e-07	-0.00717042	1.02139e-06	-1.5586	-1.17408e-06	0.000437992	9.17795e-07	1.5553	-6.07787e-07	-0.00116926	-9.39786e-08	1.55771	1.22381e-08	-2.86942e-05	0.000212096	
0.42	1.73527e-05	9.58316e-08	-1.55973	-1.91329e-07	-0.0063444	1.05378e-06	-1.56	-1.21755e-06	0.000387918	8.84339e-07	1.55709	-6.40198e-07	-0.00103444	-9.28851e-08	1.55922	1.06344e-08	-2.56473e-05	0.000187688	
0.43	1.53012e-05	9.41744e-08	-1.561	-1.68595e-07	-0.00561361	1.07289e-06	-1.56125	-1.25772e-06	0.000343675	9.02514e-07	1.55867	-6.76676e-07	-0.000915169	-8.62269e-08	1.56056	9.30197e-09	-2.28871e-05	0.000166156	
0.44	1.34858e-05	9.25718e-08	-1.56213	-1.48519e-07	-0.00496706	1.09435e-06	-1.56235	-1.2965e-06	0.000304537	9.18636e-07	1.56007	-7.14198e-07	-0.000809642	-8.12022e-08	1.56174	8.1591e-09	-2.04482e-05	0.000147109	
0.45	1.18797e-05	9.10418e-08	-1.56313	-1.30769e-07	-0.00439503	1.11324e-06	-1.56332	-1.33157e-06	0.00026991	9.29531e-07	1.5613	-7.4816e-07	-0.000716279	-7.73225e-08	1.56278	7.157e-09	-1.82909e-05	0.000130259	
0.46	1.04587e-05	8.99398e-08	-1.56402	-1.15069e-07	-0.00388894	1.1302e-06	-1.56419	-1.36307e-06	0.000239275	9.37781e-07	1.5624	-7.78488e-07	-0.000633676	-7.44213e-08	1.56371	6.27219e-09	-1.63823e-05	0.000115353	
0.47	9.20169e-06	8.9375e-08	-1.5648	-1.01186e-07	-0.00344118	1.14547e-06	-1.56495	-1.39087e-06	0.000212171	9.45133e-07	1.56337	-8.062e-07	-0.000560595	-7.25242e-08	1.56452	5.48949e-09	-1.46938e-05	0.000102166	
0.48	8.08955e-06	8.93779e-08	-1.56549	-8.8905e-08	-0.00304503	1.15983e-06	-1.56562	-1.41589e-06	0.000188191	9.52274e-07	1.56422	-8.31061e-07	-0.000495938	-7.14514e-08	1.56525	4.79624e-09	-1.31998e-05	9.05011e-05	
0.49	7.1054e-06	-8.95787e-08	-1.5661	-7.80354e-08	-0.00269455	1.17317e-06	-1.56622	-1.43876e-06	0.000166977	9.5927e-07	1.56498	-8.53384e-07	-0.000438733	7.10621e-08	1.56589	4.1815e-09	-1.18765e-05	8.01845e-05	
0.5	6.23452e-06	8.988e-08	-1.56664	-6.8414e-08	-0.00238446	1.18503e-06	-1.56675	-1.45983e-06	0.000148209	9.66614e-07	1.56565	-8.74306e-07	-0.000388122	-7.09597e-08	1.56645	3.63632e-09	-1.07036e-05	7.10615e-05	
0.51	5.46402e-06	8.99245e-08	-1.56712	-5.98985e-08	-0.00211012	1.19563e-06	-1.56721	-1.4791e-06	0.000131604	9.73977e-07	1.56624	-8.93131e-07	-0.000343345	7.08809e-08	1.56695	3.15287e-09	-9.66569e-06	6.2992e-05	
0.52	4.78235e-06	-8.99599e-08	-1.56755	-5.23587e-08	-0.0018674	1.20499e-06	-1.56763	-1.49668e-06	0.000116915	9.81356e-07	1.56677	-9.09824e-07	-0.000303729	7.09033e-08	1.5674	2.72385e-09	-8.74704e-06	5.58547e-05	
0.53	4.17928e-06	9.00269e-08	-1.56792	-4.56805e-08	-0.00165266	1.21324e-06	-1.56799	-1.51278e-06	0.000103918	9.88857e-07	1.56723	-9.24532e-07	-0.000268679	-7.08732e-08	1.56779	2.3429e-09	-7.93387e-06	4.95422e-05	
0.54	3.64575e-06	8.99335e-08	-1.56825	-3.9763e-08	-0.00146267	1.22046e-06	-1.56832	-1.52757e-06	9.242e-05	9.96544e-07	1.56764	-9.37406e-07	-0.000237669	7.08908e-08	1.56814	2.00439e-09	-7.21395e-06	4.39594e-05	
0.55	3.17376e-06	-8.99157e-08	-1.56855	-3.45168e-08	-0.00129458	1.22666e-06	-1.5686	-1.54123e-06	8.22475e-05	1.00445e-06	1.56801	-9.48586e-07	-0.000210233	-7.0914e-08	1.56844	1.70335e-09	-6.57645e-06	3.90222e-05	
