0	0	0.299058	-1.17495e-21	
0.01	0.000273324	0.297406	0.000346486	
0.02	0.000511782	0.294351	0.000465381	
0.03	0.000751576	0.28984	0.000342746	
0.04	0.000989124	0.283821	7.37209e-05	
0.05	0.00122476	0.276292	-0.000300071	
0.06	0.00145863	0.267264	-0.0007434	
0.07	0.00169144	0.256748	-0.0012286	
0.08	0.00243296	0.245912	3.87789e-05	
0.09	0.00391883	0.237078	0.00395369	
0.1	0.00594652	0.233508	0.00650197	
0.11	0.00896695	0.235507	0.00651308	
0.12	0.0124681	0.2396	0.00566508	
0.13	0.0159583	0.243468	0.0045352	
0.14	0.019452	0.246549	0.00340691	
0.15	0.0228996	0.249027	0.00229921	
0.16	0.026229	0.250876	0.00131493	
0.17	0.0297719	0.252143	0.000371686	
0.18	0.0330456	0.25233	-0.000375348	
0.19	0.0364386	0.25312	-0.00133403	
0.2	0.039505	0.253822	-0.00265991	
0.21	0.0422896	0.254301	-0.00428061	
0.22	0.0448072	0.254542	-0.00606643	
0.23	0.0470467	0.254672	-0.00767515	
0.24	0.0490307	0.255015	-0.00898588	
0.25	0.0510958	0.256385	-0.00998316	
0.26	0.0532357	0.257358	-0.0109464	
0.27	0.0554139	0.257266	-0.0117491	
0.28	0.0575996	0.255971	-0.0123847	
0.29	0.0596958	0.253192	-0.0129213	
0.3	0.0614719	0.249539	-0.0132718	
0.31	0.0628939	0.246398	-0.0135918	
0.32	0.0640035	0.248036	-0.0148081	
0.33	0.0648163	0.249187	-0.0157111	
0.34	0.0651983	0.249837	-0.0161711	
0.35	0.065329	0.249841	-0.0163901	
0.36	0.0662545	0.251148	-0.0155937	
0.37	0.0680923	0.254869	-0.0138645	
0.38	0.0702357	0.258634	-0.0116349	
0.39	0.0723087	0.261196	-0.00950754	
0.4	0.074441	0.262703	-0.0076194	
0.41	0.0766795	0.263323	-0.00608531	
0.42	0.0792631	0.263764	-0.00531778	
0.43	0.0819743	0.26419	-0.00478407	
0.44	0.0846985	0.264604	-0.00433373	
0.45	0.0874375	0.264988	-0.00393585	
0.46	0.090168	0.265358	-0.00356023	
0.47	0.0928653	0.265738	-0.00315566	
0.48	0.0955399	0.266121	-0.00272636	
0.49	0.0982371	0.266422	-0.0023191	
0.5	0.100936	0.266683	-0.00189078	
0.51	0.103638	0.266897	-0.00143018	
0.52	0.106346	0.267051	-0.000948704	
0.53	0.109065	0.267144	-0.000471381	
0.54	0.111805	0.267158	-1.88666e-05	
0.55	0.114573	0.267078	0.000401818	
0.56	0.117374	0.266889	0.000788502	
0.57	0.120216	0.266576	0.00113555	
0.58	0.123103	0.266126	0.0014394	
0.59	0.126047	0.265509	0.00169082	
0.6	0.129054	0.264707	0.00188685	
0.61	0.132126	0.263701	0.0020229	
0.62	0.135265	0.262477	0.00209857	
0.63	0.138471	0.261022	0.00211274	
0.64	0.141745	0.259318	0.0020643	
0.65	0.145086	0.257344	0.00195163	
0.66	0.148493	0.25508	0.00177456	
0.67	0.151975	0.25246	0.00152546	
0.68	0.155428	0.248998	0.00115221	
0.69	0.158857	0.244576	0.000680906	
0.7	0.161972	0.243554	0.000269902	
0.71	0.16482	0.243579	-0.000312065	
0.72	0.168092	0.244103	-2.81181e-06	
0.73	0.17178	0.245831	0.00147076	
0.74	0.175345	0.246696	0.00284759	
0.75	0.178778	0.246605	0.00412623	
